[Tue Jun 19 14:06:01 2018] [6888] /: D:/openServer/domains/catss/./classes/site.p(285:15): '{----- } {!!!!!!!!!!!!!!} ' invalid number (double) [number.format] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:06:02 2018] [11232] /: D:/openServer/domains/catss/./classes/site.p(285:15): '{----- } {!!!!!!!!!!!!!!} ' invalid number (double) [number.format] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:06:02 2018] [5820] /: D:/openServer/domains/catss/./classes/site.p(285:15): '{----- } {!!!!!!!!!!!!!!} ' invalid number (double) [number.format] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:06:02 2018] [6380] /: D:/openServer/domains/catss/./classes/site.p(285:15): '{----- } {!!!!!!!!!!!!!!} ' invalid number (double) [number.format] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:06:11 2018] [10084] /: D:/openServer/domains/catss/./classes/site.p(285:15): '{----- } {!!!!!!!!!!!!!!} ' invalid number (double) [number.format] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:06:11 2018] [10484] /: D:/openServer/domains/catss/./classes/site.p(285:15): '{----- } {!!!!!!!!!!!!!!} ' invalid number (double) [number.format] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:06:12 2018] [2632] /: D:/openServer/domains/catss/./classes/site.p(285:15): '{----- } {!!!!!!!!!!!!!!} ' invalid number (double) [number.format] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:06:12 2018] [10476] /: D:/openServer/domains/catss/./classes/site.p(285:15): '{----- } {!!!!!!!!!!!!!!} ' invalid number (double) [number.format] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:06:12 2018] [9228] /: D:/openServer/domains/catss/./classes/site.p(285:15): '{----- } {!!!!!!!!!!!!!!} ' invalid number (double) [number.format] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:06:12 2018] [8440] /: D:/openServer/domains/catss/./classes/site.p(285:15): '{----- } {!!!!!!!!!!!!!!} ' invalid number (double) [number.format] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:06:17 2018] [8804] /: D:/openServer/domains/catss/./classes/site.p(285:15): '{----- } {!!!!!!!!!!!!!!} ' invalid number (double) [number.format] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:06:18 2018] [7636] /: D:/openServer/domains/catss/./classes/site.p(285:15): '{----- } {!!!!!!!!!!!!!!} ' invalid number (double) [number.format] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:06:18 2018] [8408] /: D:/openServer/domains/catss/./classes/site.p(285:15): '{----- } {!!!!!!!!!!!!!!} ' invalid number (double) [number.format] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:06:18 2018] [6020] /: D:/openServer/domains/catss/./classes/site.p(285:15): '{----- } {!!!!!!!!!!!!!!} ' invalid number (double) [number.format] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:06:19 2018] [8736] /: D:/openServer/domains/catss/./classes/site.p(285:15): '{----- } {!!!!!!!!!!!!!!} ' invalid number (double) [number.format] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:06:20 2018] [10168] /: D:/openServer/domains/catss/./classes/site.p(285:15): '{----- } {!!!!!!!!!!!!!!} ' invalid number (double) [number.format] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:06:26 2018] [4640] /: D:/openServer/domains/catss/./classes/site.p(285:15): '{----- } {!!!!!!!!!!!!!!} ' invalid number (double) [number.format] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:06:27 2018] [10920] /: D:/openServer/domains/catss/./classes/site.p(285:15): '{----- } {!!!!!!!!!!!!!!} ' invalid number (double) [number.format] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:06:27 2018] [10956] /: D:/openServer/domains/catss/./classes/site.p(285:15): '{----- } {!!!!!!!!!!!!!!} ' invalid number (double) [number.format] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:06:27 2018] [10924] /: D:/openServer/domains/catss/./classes/site.p(285:15): '{----- } {!!!!!!!!!!!!!!} ' invalid number (double) [number.format] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:06:28 2018] [10760] /: D:/openServer/domains/catss/./classes/site.p(285:15): '{----- } {!!!!!!!!!!!!!!} ' invalid number (double) [number.format] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:06:28 2018] [5288] /: D:/openServer/domains/catss/./classes/site.p(285:15): '{----- } {!!!!!!!!!!!!!!} ' invalid number (double) [number.format] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:06:28 2018] [5324] /: D:/openServer/domains/catss/./classes/site.p(285:15): '{----- } {!!!!!!!!!!!!!!} ' invalid number (double) [number.format] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:07:03 2018] [10368] /: D:/openServer/domains/catss/auto.p(123:10): 'unhandled_exception_debug' undefined method [parser.runtime] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:07:03 2018] [10368] Unhandled exception in /: D:/openServer/domains/catss/auto.p(123:10): 'unhandled_exception_debug' undefined method [parser.runtime] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:08:35 2018] [2608] /: D:/openServer/domains/catss/./classes/site.p(285:15): '{----- } {!!!!!!!!!!!!!!} ' invalid number (double) [number.format] [uri=/, method=GET, cl=0]
