[[ue Tun 19 11:49:45 2018] [10068] /5 D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtime2] ur: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtimei=/, i=/, method=GET, c
l=0]
[Tue Jun 19 12:11:03 2018] [7148] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'D:\openServer\domains\catss\cgi-bin/lib/libparser3mysql.so' не является приложением Win32. [<no type>] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:11:04 2018] [6176] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'D:\openServer\domains\catss\cgi-bin/lib/libparser3mysql.so' не является приложением Win32. [<no type>] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:11:04 2018] [6592] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'D:\openServer\domains\catss\cgi-bin/lib/libparser3mysql.so' не является приложением Win32. [<no type>] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:11:32 2018] [3340] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtime] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:11:40 2018] [2176] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtime] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:11:42 2018] [10968] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtime] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:14:07 2018] [6160] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtime] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:14:11 2018] [8740] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtime] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:14:35 2018] [6788] /: D:/openServer/domains/catss/auto.p(123:10): 'unhandled_exception_debug' undefined method [parser.runtime] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:14:35 2018] [6788] Unhandled exception in /: D:/openServer/domains/catss/auto.p(123:10): 'unhandled_exception_debug' undefined method [parser.runtime] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:15:55 2018] [7936] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:15:58 2018] [8252] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:17:29 2018] [7224] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:19:55 2018] [2036] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:20:03 2018] [6212] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:20:03 2018] [6440] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:20:03 2018] [10156] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:20:03 2018] [7664] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:20:04 2018] [1680] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:21:58 2018] [7924] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:22:13 2018] [11140] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:22:15 2018] [10008] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:22:51 2018] [2592] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'D:\openServer\domains\catss\cgi-bin/lib/libparser3mysql.so' не является приложением Win32. [<no type>] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:23:06 2018] [4264] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:23:26 2018] [2208] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'D:\openServer\domains\catss\cgi-bin/lib/libparser3mysql.so' не является приложением Win32. [<no type>] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:23:48 2018] [6320] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:24:17 2018] [9308] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:24:35 2018] [6388] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:24:37 2018] [9332] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:28:19 2018] [6356] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'D:\openServer\domains\catss\cgi-bin/lib/libparser3mysql.so' не является приложением Win32. [<no type>] [uri=/, method=GET, cl=0]
